552.363: [GC [PSYoungGen: 2086336K->1433280K(2803712K)] 5829184K->5176128K(7027200K), 10.9509590 secs] [Times: user=85.59 sys=1.18, real=10.95 secs] 
568.813: [GC [PSYoungGen: 2180928K->1527872K(2877888K)] 5923776K->5270720K(7101376K), 11.7581100 secs] [Times: user=91.94 sys=1.28, real=11.75 secs] 
586.931: [GC [PSYoungGen: 2342656K->459424K(2912256K)] 6085504K->5378448K(7831360K), 13.9332700 secs] [Times: user=108.15 sys=2.51, real=13.93 secs] 
600.864: [Full GC [PSYoungGen: 459424K->317065K(2912256K)] [PSOldGen: 4919024K->4919104K(5687168K)] 5378448K->5236169K(8599424K) [PSPermGen: 3453K->3453K(21248K)], 22.9256440 secs] [Times: user=22.71 sys=0.21, real=22.93 secs] 
628.033: [GC [PSYoungGen: 814784K->380704K(3037952K)] 5733888K->5299808K(8725120K), 3.5415790 secs] [Times: user=27.37 sys=0.58, real=3.54 secs] 
637.791: [GC [PSYoungGen: 1275616K->493984K(3071424K)] 6194720K->5413088K(8758592K), 4.3179750 secs] [Times: user=33.85 sys=0.56, real=4.31 secs] 
648.101: [GC [PSYoungGen: 1388896K->313191K(3173184K)] 6308000K->5614319K(8860352K), 5.3380520 secs] [Times: user=42.36 sys=0.80, real=5.34 secs] 
653.439: [Full GC [PSYoungGen: 313191K->0K(3173184K)] [PSOldGen: 5301128K->5613654K(6401408K)] 5614319K->5613654K(9574592K) [PSPermGen: 3456K->3456K(21248K)], 22.1878840 secs] [Times: user=21.85 sys=0.33, real=22.19 secs] 
682.430: [GC [PSYoungGen: 936189K->854241K(3179008K)] 6549843K->6467895K(9580416K), 1.0707300 secs] [Times: user=10.09 sys=0.18, real=1.07 secs] 
690.100: [GC [PSYoungGen: 1861089K->806509K(2997632K)] 7474743K->7007235K(9399040K), 2.2409190 secs] [Times: user=19.90 sys=0.99, real=2.24 secs] 
692.342: [Full GC [PSYoungGen: 806509K->805557K(2997632K)] [PSOldGen: 6200726K->6200726K(7109056K)] 7007235K->7006284K(10106688K) [PSPermGen: 3456K->3456K(21248K)], 24.8916730 secs] [Times: user=24.63 sys=0.20, real=24.89 secs] 
718.481: [GC [PSYoungGen: 1114688K->1129558K(3091264K)] 7315414K->7330284K(10200320K), 2.1939700 secs] [Times: user=18.25 sys=0.39, real=2.20 secs] 
722.954: [GC [PSYoungGen: 2244246K->1946483K(2830016K)] 8444972K->8298697K(9939072K), 1.7093020 secs] [Times: user=16.49 sys=0.74, real=1.70 secs] 
726.548: [GC-- [PSYoungGen: 2830003K->2830003K(2830016K)] 9182217K->10998339K(10999104K), 4.8403080 secs] [Times: user=22.24 sys=3.26, real=4.84 secs] 
731.389: [Full GC [PSYoungGen: 2830003K->905243K(2830016K)] [PSOldGen: 8168335K->8169087K(9018496K)] 10998339K->9074331K(11848512K) [PSPermGen: 3477K->3477K(21248K)], 34.1615700 secs] [Times: user=33.93 sys=0.23, real=34.16 secs] 
765.551: [GC [PSYoungGen: 905244K->909312K(1792896K)] 9074331K->9078399K(10811392K), 1.3359100 secs] [Times: user=13.33 sys=0.29, real=1.33 secs] 
768.832: [GC [PSYoungGen: 1792832K->1741936K(2989888K)] 9961919K->9911023K(12008384K), 1.1391750 secs] [Times: user=10.54 sys=0.02, real=1.14 secs] 
853.603: [GC [PSYoungGen: 2554480K->1807930K(3133952K)] 10723567K->9977018K(12152448K), 1.0963260 secs] [Times: user=10.85 sys=0.03, real=1.10 secs] 
914.565: [GC-- [PSYoungGen: 2620474K->2620474K(3133952K)] 10789562K->12508722K(13022208K), 3.5108470 secs] [Times: user=17.69 sys=1.80, real=3.51 secs] 
918.076: [Full GC [PSYoungGen: 2620474K->0K(3133952K)] [PSOldGen: 9888247K->2889192K(3688192K)] 12508722K->2889192K(6822144K) [PSPermGen: 8195K->8191K(21248K)], 15.3007330 secs] [Times: user=14.91 sys=0.38, real=15.30 secs] 
1005.615: [GC [PSYoungGen: 812544K->2848K(3180800K)] 3701736K->2892040K(6868992K), 0.0381430 secs] [Times: user=0.21 sys=0.00, real=0.04 secs] 
1080.269: [GC [PSYoungGen: 863520K->2208K(3190784K)] 3752712K->2893320K(6878976K), 0.0580270 secs] [Times: user=0.34 sys=0.02, real=0.05 secs] 
1145.715: [GC [PSYoungGen: 862880K->9578K(3215616K)] 3753992K->2902091K(6903808K), 0.0575110 secs] [Times: user=0.36 sys=0.03, real=0.06 secs] 
1221.437: [GC [PSYoungGen: 903338K->2752K(3223872K)] 3795851K->2903435K(6912064K), 0.0545330 secs] [Times: user=0.33 sys=0.02, real=0.06 secs] 
1296.881: [GC [PSYoungGen: 896512K->2144K(3239104K)] 3797195K->2904163K(6927296K), 0.0426650 secs] [Times: user=0.28 sys=0.01, real=0.05 secs] 
1374.678: [GC [PSYoungGen: 917088K->1920K(3245056K)] 3819107K->2904875K(6933248K), 0.0366600 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
1452.293: [GC [PSYoungGen: 916864K->1824K(3254208K)] 3819819K->2905507K(6942400K), 0.0351830 secs] [Times: user=0.24 sys=0.01, real=0.04 secs] 
1531.925: [GC [PSYoungGen: 929760K->1824K(929792K)] 3833443K->2906147K(4617984K), 0.0330140 secs] [Times: user=0.20 sys=0.04, real=0.04 secs] 
1598.895: [GC [PSYoungGen: 929760K->1440K(3034624K)] 3834083K->2905763K(6722816K), 0.0314780 secs] [Times: user=0.20 sys=0.01, real=0.04 secs] 
1663.604: [GC [PSYoungGen: 937120K->9738K(945472K)] 3841443K->2914061K(4633664K), 0.0377700 secs] [Times: user=0.22 sys=0.00, real=0.04 secs] 
